Stock,Time,In Market,Rejection
0,8,0,1
6,8,0,1
0,2,0,1
7,8,0,1
0,8,0,1
0,4,0,1
0,8,0,1
0,8,0,1
0,2,0,1
3,8,0,1
0,0,0,1
0,2,0,1
0,8,0,1
2,6,0,1
0,8,0,1
9,8,0,1
0,8,0,1
0,17,0,1
10,0,0,1
0,8,0,1
10,12,0,1
2,8,0,1
108,3,0,1
4,8,0,1
3,8,0,1
0,8,0,1
4,8,0,1
24,2,0,1
2,8,0,1
0,8,0,1
3,8,0,1
1,8,0,1
3,8,0,1
-1,8,0,1
3,2,0,1
2,8,0,1
4,8,0,1
0,12,0,1
0,4,0,1
13,8,0,1
788,22,0,1
0,2,0,1
1,12,0,1
26,3,0,1
3,8,0,1
8,3,0,1
10,8,0,1
2,2,0,1
-102,8,0,1
2,9,0,1
5,16,0,1
0,8,0,1
0,4,0,1
-19,8,0,1
40,8,0,1
0,8,0,1
0,2,0,1
501,2,0,1
0,2,0,1
61,2,0,1
67,8,0,1
31,2,0,1
9,8,0,1
-1,8,0,1
15,8,0,1
1,8,0,1
433,5,0,1
49,2,0,1
0,2,0,1
298,2,0,1
9,8,0,1
194,8,0,1
0,12,0,1
0,4,0,1
95,8,0,1
69,8,0,1
-1,8,0,1
12,2,0,1
5,2,0,1
2,8,0,1
0,2,0,1
166,2,0,1
-18,8,0,1
-5,8,0,1
-13,2,0,1
5,8,0,1
32,4,0,1
0,2,0,1
14,12,0,1
1,8,0,1
105,8,0,1
0,2,0,1
0,4,0,1
0,12,0,1
6,2,0,1
44,8,0,1
786,8,0,1
1,8,0,1
2,8,0,1
730,12,0,1
0,2,0,1
9,8,0,1
117,8,0,1
324,8,0,1
0,12,0,1
-20,8,0,1
224,8,0,1
9,2,0,1
13,8,0,1
0,8,0,1
0,2,0,1
-51,8,0,1
2,2,0,1
0,8,0,1
26,8,0,1
111,8,0,1
0,2,0,1
0,2,0,1
97,8,0,1
2,2,0,1
23,9,0,1
0,2,0,1
98,8,0,1
0,8,0,1
61,8,0,1
1,2,0,1
5,8,0,1
29,8,0,1
24,2,0,1
1,2,0,1
6,2,0,1
232,8,0,1
117,2,0,1
0,12,0,1
4,16,0,1
1,8,0,1
1,8,0,1
22,8,0,1
3,12,0,1
-68,8,0,1
-2,8,0,1
34,8,0,1
1,2,0,1
224,2,0,1
25,14,0,1
9,8,0,1
4,8,0,1
-75,15,0,1
0,8,0,1
38,8,0,1
0,8,0,1
237,8,0,0
0,2,0,0
13,9,0,0
329,8,0,0
0,2,0,0
263,2,0,0
5,9,0,0
11,9,0,0
150,8,0,0
132,10,0,0
54,2,0,0
0,8,0,0
2,9,0,0
4,4,0,0
6,2,0,0
1,2,0,0
11,2,0,0
44,2,0,0
4,4,0,0
53,2,0,0
4,12,0,0
3,4,0,0
9,4,0,0
0,2,0,0
0,12,0,0
35,2,0,0
184,2,0,0
0,2,0,0
1,2,0,0
3,3,0,0
4,2,0,0
0,3,0,0
6,2,0,0
9,4,0,0
8,8,0,0
55,2,0,0
51,2,0,0
3,2,0,0
47,2,0,0
3,12,0,0
5,4,0,0
0,2,0,0
14,4,0,0
0,2,0,0
0,2,0,0
42,2,0,0
19,2,0,0
5,2,0,0
6,2,0,0
0,2,0,0
3,2,0,0
0,4,0,0
0,2,0,0
0,2,0,0
0,8,1,0
56,8,1,0
199,8,0,0
13,8,0,0
25,8,0,0
138,52,0,0
189,8,0,0
2,8,0,0
11,8,0,0
4,8,0,0
8,9,0,0
2,12,0,0
1,12,0,0
2,12,0,0
7,8,0,0
14,0,0,0
118,8,0,0
1,8,0,0
11,8,0,0
7,12,0,0
3,9,0,0
2,8,0,0
1,9,0,0
5,8,0,0
168,12,0,0
16,12,0,0
832,8,0,0
146,12,0,0
2,8,0,0
138,8,0,0
136,8,0,0
474,8,0,0
10,14,0,0
2,8,0,0
0,8,0,0
16,9,0,0
31,8,0,0
150,9,0,0
40,9,0,0
31,8,0,0
727,8,0,0
6,9,0,0
382,9,0,0
39,8,0,0
7,8,0,0
560,9,0,0
25,9,0,0
23,8,0,0
179,8,0,0
65,9,0,0
159,8,0,0
6,8,0,0
33,9,0,0
10,9,0,0
163,9,0,0
16,9,0,0
13,2,0,0
11,9,0,0
5,9,0,0
135,9,0,0
23,9,0,0
43,9,0,0
20,2,0,0
55,8,0,0
4,12,0,0
280,52,0,0
76,4,0,0
20,12,0,0
10,12,0,0
72,4,0,0
330,4,0,0
460,4,0,0
700,2,0,0
22,2,0,0
5,4,0,0
5,12,0,0
2,8,0,0
40,8,0,0
7,9,0,0
13,4,0,0
5,12,0,0
2,8,0,0
20,8,0,0
14,12,0,0
143,12,0,0
3,4,0,0
20,8,0,0
11,4,0,0
4,8,0,0
14,4,0,0
32,8,0,0
4321,4,0,0
30,2,0,0
28,4,0,0
0,4,0,0
14,8,0,0
9,4,0,0
45,8,0,0
6,4,0,0
5,4,0,0
2,8,0,0
3,8,0,0
10,4,0,0
9,4,0,0
